Frame,Time,People_Count_true,Time_teacher,People_Count_teacher,Time_qc,People_Count_qc,Difference
520,1:15:56,5,1:15:56,6.0,02:24:54,8,3
525,1:15:57,5,1:15:57,6.0,02:25:02,5,0
530,1:15:58,5,1:15:58,6.0,02:25:09,8,3
535,1:15:59,5,1:15:59,6.0,02:25:17,7,2
540,1:16:00,5,1:16:00,6.0,02:25:24,5,0
545,1:16:01,5,1:16:01,5.0,02:25:32,6,1
550,1:16:02,5,1:16:02,5.0,02:25:39,6,1
555,1:16:03,5,1:16:03,6.0,02:25:47,6,1
560,1:16:04,5,1:16:04,6.0,02:25:54,6,1
565,1:16:05,5,1:16:05,5.0,02:26:02,6,1
570,1:16:06,5,1:16:06,5.0,02:26:09,6,1
575,1:16:07,5,1:16:07,5.0,02:26:17,6,1
580,1:16:08,5,1:16:08,5.0,02:26:24,6,1
585,1:16:09,5,1:16:09,5.0,02:26:32,6,1
590,1:16:10,5,1:16:10,6.0,02:26:39,6,1
595,1:16:10,5,1:16:10,6.0,02:26:47,8,3
600,1:16:11,5,1:16:11,6.0,02:26:54,6,1
605,1:16:13,5,1:16:13,6.0,02:27:02,6,1
610,1:16:13,5,1:16:13,6.0,02:27:09,6,1
615,1:16:14,5,1:16:14,6.0,02:27:17,6,1
620,1:16:15,5,1:16:15,6.0,02:27:24,8,3
625,1:16:16,5,1:16:16,6.0,02:27:32,6,1
630,1:16:17,5,1:16:17,6.0,02:27:39,7,2
635,1:16:18,5,1:16:18,6.0,02:27:47,7,2
640,1:16:19,5,1:16:19,6.0,02:27:55,6,1
645,1:16:20,5,1:16:20,6.0,02:28:02,6,1
650,1:16:21,5,1:16:21,6.0,02:28:10,6,1
655,1:16:22,5,1:16:22,6.0,02:28:17,6,1
660,1:16:23,5,1:16:23,6.0,02:28:25,7,2
665,1:16:24,5,1:16:24,6.0,02:28:32,8,3
670,1:16:25,5,1:16:25,6.0,02:28:40,6,1
675,1:16:26,5,1:16:26,6.0,02:28:47,6,1
680,1:16:27,5,1:16:27,6.0,02:28:55,6,1
685,1:16:28,5,1:16:28,6.0,02:29:02,5,0
690,1:16:29,5,1:16:29,6.0,02:29:10,6,1
695,1:16:30,5,1:16:30,6.0,02:29:18,6,1
700,1:16:31,5,1:16:31,6.0,02:29:25,8,3
705,1:16:32,5,1:16:32,5.0,02:29:33,7,2
710,1:16:33,5,1:16:33,6.0,02:29:40,7,2
715,1:16:34,5,1:16:34,5.0,02:29:48,7,2
720,1:16:35,5,1:16:35,6.0,02:29:55,7,2
725,1:16:36,5,1:16:36,5.0,02:30:03,6,1
730,1:16:37,5,1:16:37,5.0,02:30:10,6,1
735,1:16:38,5,1:16:38,5.0,02:30:18,6,1
740,1:16:39,5,1:16:39,5.0,02:30:25,6,1
745,1:16:40,5,1:16:40,5.0,02:30:33,6,1
750,1:16:40,5,1:16:40,5.0,02:30:40,6,1
755,1:16:41,5,1:16:41,4.0,02:30:48,6,1
760,1:16:42,5,1:16:42,4.0,02:30:55,6,1
765,1:16:43,5,1:16:43,5.0,02:31:03,6,1
770,1:16:44,5,1:16:44,5.0,02:31:10,6,1
775,1:16:45,5,1:16:45,5.0,02:31:18,6,1
780,1:16:46,5,1:16:46,5.0,02:31:26,6,1
785,1:16:47,5,1:16:47,5.0,02:31:33,5,0
790,1:16:48,5,1:16:48,5.0,02:31:41,6,1
795,1:16:49,5,1:16:49,5.0,02:31:48,5,0
800,1:16:50,5,1:16:50,5.0,02:31:56,6,1
805,1:16:51,5,1:16:51,5.0,02:32:03,6,1
810,1:16:52,5,1:16:52,5.0,02:32:11,6,1
815,1:16:53,5,1:16:53,5.0,02:32:19,6,1
820,1:16:54,5,1:16:54,5.0,02:32:26,6,1
825,1:16:55,5,1:16:55,5.0,02:32:34,6,1
830,1:16:56,5,1:16:56,5.0,02:32:41,6,1
835,1:16:57,5,1:16:57,5.0,02:32:49,6,1
840,1:16:58,5,1:16:58,5.0,02:32:56,6,1
845,1:16:59,5,1:16:59,5.0,02:33:04,6,1
850,1:17:00,5,1:17:00,5.0,02:33:11,6,1
855,1:17:01,5,1:17:01,5.0,02:33:19,6,1
860,1:17:02,5,1:17:02,5.0,02:33:27,6,1
865,1:17:03,5,1:17:03,5.0,02:33:34,6,1
870,1:17:04,5,1:17:04,5.0,02:33:42,6,1
875,1:17:05,5,1:17:05,5.0,02:33:49,6,1
880,1:17:06,5,1:17:06,5.0,02:33:57,6,1
885,1:17:07,5,1:17:07,5.0,02:34:04,5,0
890,1:17:08,5,1:17:08,5.0,02:34:12,5,0
895,1:17:09,5,1:17:09,5.0,02:34:20,6,1
900,1:17:10,5,1:17:10,5.0,02:34:27,6,1
905,1:17:10,5,1:17:10,5.0,02:34:35,6,1
910,1:17:11,5,1:17:11,5.0,02:34:42,6,1
915,1:17:12,5,1:17:12,5.0,02:34:50,7,2
920,1:17:13,5,1:17:13,5.0,02:34:57,7,2
925,1:17:14,5,1:17:14,5.0,02:35:05,5,0
930,1:17:15,5,1:17:15,7.0,02:35:13,7,2
935,1:17:16,5,1:17:16,6.0,02:35:20,6,1
